LOCATION,INDICATOR,FREQUENCY,TIME,Value
USA,CCI,M,2018-01,101.3777
USA,CCI,M,2018-02,101.54
USA,CCI,M,2018-03,101.6409
USA,CCI,M,2018-04,101.5902
USA,CCI,M,2018-05,101.5046
USA,CCI,M,2018-06,101.4468
USA,CCI,M,2018-07,101.4155
USA,CCI,M,2018-08,101.4267
USA,CCI,M,2018-09,101.5097
USA,CCI,M,2018-10,101.4919
USA,CCI,M,2018-11,101.3832
USA,CCI,M,2018-12,101.2136
USA,CCI,M,2019-01,101.0106
USA,CCI,M,2019-02,101.0644
USA,CCI,M,2019-03,101.2812
USA,CCI,M,2019-04,101.4401
USA,CCI,M,2019-05,101.5275
USA,CCI,M,2019-06,101.4343
USA,CCI,M,2019-07,101.2037
USA,CCI,M,2019-08,100.9094
USA,CCI,M,2019-09,100.9094
USA,CCI,M,2019-10,101.111
USA,CCI,M,2019-11,101.3781
USA,CCI,M,2019-12,101.6045
USA,CCI,M,2020-01,101.6029
USA,CCI,M,2020-02,101.1775
USA,CCI,M,2020-03,100.1856
USA,CCI,M,2020-04,99.10674
USA,CCI,M,2020-05,98.60979
USA,CCI,M,2020-06,98.56031
USA,CCI,M,2020-07,98.5775
USA,CCI,M,2020-08,98.77806
USA,CCI,M,2020-09,99.08855
USA,CCI,M,2020-10,99.23637
USA,CCI,M,2020-11,99.19353
USA,CCI,M,2020-12,99.19658
USA,CCI,M,2021-01,99.20263
USA,CCI,M,2021-02,99.34135
USA,CCI,M,2021-03,99.7054
USA,CCI,M,2021-04,99.94821
USA,CCI,M,2021-05,99.88985
USA,CCI,M,2021-06,99.68125
USA,CCI,M,2021-07,99.21602
USA,CCI,M,2021-08,98.65033
USA,CCI,M,2021-09,98.35335
USA,CCI,M,2021-10,98.16784
USA,CCI,M,2021-11,98.00648
USA,CCI,M,2021-12,97.90565
USA,CCI,M,2022-01,97.67198
USA,CCI,M,2022-02,97.36626
USA,CCI,M,2022-03,97.13007
USA,CCI,M,2022-04,96.96474
USA,CCI,M,2022-05,96.56033
USA,CCI,M,2022-06,96.15551
USA,CCI,M,2022-07,96.12771
USA,CCI,M,2022-08,96.3923
USA,CCI,M,2022-09,96.60992
USA,CCI,M,2022-10,96.72409
USA,CCI,M,2022-11,96.79153
USA,CCI,M,2022-12,97.01158
USA,CCI,M,2023-01,97.29967
USA,CCI,M,2023-02,97.41441
USA,CCI,M,2023-03,97.29214
USA,CCI,M,2023-04,97.18363
USA,CCI,M,2023-05,97.17767
USA,CCI,M,2023-06,97.48916
USA,CCI,M,2023-07,97.95027
USA,CCI,M,2023-08,98.32153
